Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-27,9,Closer,The Chainsmokers,2862862,2017-01-27,global,
2017-01-27,10,Say You Won't Let Go,James Arthur,2787328,2017-01-27,global,
2017-01-28,1,Shape of You,Ed Sheeran,7423086,2017-01-28,global,
2017-01-28,2,Paris,The Chainsmokers,4114373,2017-01-28,global,
2017-01-28,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3800351,2017-01-28,global,
2017-01-28,4,Castle on the Hill,Ed Sheeran,3489434,2017-01-28,global,
2017-01-28,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3450083,2017-01-28,global,
2017-01-28,6,Despacito (Featuring Daddy Yankee),Luis Fonsi,3088386,2017-01-28,global,
2017-01-28,7,Starboy,The Weeknd,3074828,2017-01-28,global,
2017-01-28,8,Bad and Boujee (feat. Lil Uzi Vert),Migos,2899366,2017-01-28,global,
2017-01-28,9,Closer,The Chainsmokers,2788160,2017-01-28,global,
2017-01-28,10,Say You Won't Let Go,James Arthur,2671936,2017-01-28,global,
2017-01-29,1,Shape of You,Ed Sheeran,6539160,2017-01-29,global,
2017-01-29,2,Paris,The Chainsmokers,3624414,2017-01-29,global,
2017-01-29,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3383307,2017-01-29,global,
2017-01-29,4,Castle on the Hill,Ed Sheeran,3088678,2017-01-29,global,
2017-01-29,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2876411,2017-01-29,global,
2017-01-29,6,Despacito (Featuring Daddy Yankee),Luis Fonsi,2677707,2017-01-29,global,
2017-01-29,7,Starboy,The Weeknd,2606236,2017-01-29,global,
2017-01-29,8,Bad and Boujee (feat. Lil Uzi Vert),Migos,2492224,2017-01-29,global,
2017-01-29,9,Say You Won't Let Go,James Arthur,2455654,2017-01-29,global,
2017-01-29,10,Closer,The Chainsmokers,2415544,2017-01-29,global,
2017-01-30,1,Shape of You,Ed Sheeran,7122914,2017-01-30,global,
2017-01-30,2,Paris,The Chainsmokers,3948527,2017-01-30,global,
2017-01-30,3,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3641608,2017-01-30,global,
2017-01-30,4,Castle on the Hill,Ed Sheeran,3420993,2017-01-30,global,
